#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)"
2.5%,5000,4032.22541046137,302.5643351039611
5.0%,10000,3952.3129405649515,311.4288340727448
7.5%,15000,3986.4929226554696,277.6389645134869
10.0%,20000,3866.3259893490685,291.4119985631919
12.5%,25000,3829.279002580337,314.0077112278823
15.0%,30000,3759.055783631812,293.62550365282135
17.5%,35000,3805.0267706436202,320.77386292575
20.0%,40000,3727.7698270563733,302.81969414519426
22.5%,45000,3800.4040109597863,296.6761548831833
25.0%,50000,3782.6968181447965,312.92183962179666
27.5%,55000,3699.1027790011203,291.56486662323107
30.0%,60000,3670.371028567058,310.5669291927922
32.5%,65000,3780.9550823336904,317.57823691656694
35.0%,70000,3782.179470498868,297.98091469707816
37.5%,75000,3685.5061262771146,289.06536180508806
40.0%,80000,3583.1859740882346,312.2111090969831
42.5%,85000,3641.2786330272147,298.29520915136834
45.0%,90000,3498.3734979267365,324.17599719908793
47.5%,95000,3527.4137113859797,300.32781097076247
50.0%,100000,3436.207435911969,289.00894245350514
52.5%,105000,3398.02042947104,325.64078542413836
55.0%,110000,3424.220422887157,302.8767504230001
57.5%,115000,3447.6918741060167,298.54135233756415
60.0%,120000,3458.056277739669,285.7745898297847
62.5%,125000,3334.320453895747,307.76392826526313
65.0%,130000,3249.977779188232,302.15751826296304
67.5%,135000,3267.844006013322,299.4045259975584
70.0%,140000,3281.5606483251922,311.88204525329786
72.5%,145000,3391.061270868777,304.7558131828609
75.0%,150000,3414.8877908094014,309.6511504318874
77.5%,155000,3309.952334526899,299.3851120241797
80.0%,160000,3346.039049036771,304.7603786626156
82.5%,165000,3374.0730968275584,295.582489661531
85.0%,170000,3236.3676573784596,336.66856863467973
87.5%,175000,3309.2987227002486,308.8827947469927
90.0%,180000,3358.3512240287696,294.17638226951385
92.5%,185000,3291.450387183816,319.4878717839759
95.0%,190000,3270.87552197624,285.28446565415254
97.5%,195000,3307.8685758220918,294.2408106322637
100.0%,200000,3412.658151465592,277.56834031065017
